,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
0,A32,Hàng cá nhân,2016.0,1.895679,0.068509,22.471583,-5318.315362,0.260027,0.352232,0.300585,0.467199,0.166626,0.738226,1.554298,0.648602,1.852114,0.083849,2.774376,-0.041601,5.204208,8.121369,0.123132,0.141171,-4.661299,0.192152,,,,,,
1,A32,Hàng cá nhân,2017.0,1.892711,0.06874,52.905524,-10941.624385,0.260365,0.348655,0.29074,0.451963,0.199366,0.746771,1.554527,0.648132,1.841799,0.079304,1.295208,-0.03688,4.690403,6.125511,0.163228,0.130864,-4.187785,0.21317,0.078795,-0.001265,-0.030794,0.289084,-0.023465,-0.024427
2,A32,Hàng cá nhân,2018.0,1.903333,0.080305,60.273457,-9783.135884,0.350557,0.489352,0.12433,0.219468,0.242161,0.716369,1.765215,0.571685,1.334631,0.110687,1.362423,-0.041852,3.931692,5.691586,0.175693,0.133196,-3.551736,0.254336,0.259998,-0.0475,0.068627,0.136706,-0.319033,0.233866
3,A32,Hàng cá nhân,2019.0,1.88101,0.082791,45.139236,-5865.498353,0.419251,0.610323,0.139134,0.288314,0.132195,0.686933,2.0722,0.485865,0.945002,0.137103,1.557024,-0.043082,3.792186,12.02672,0.083148,0.18918,-3.340953,0.2637,0.109455,0.317581,0.043613,-0.493586,0.488417,0.103218
4,AAA,Hàng công nghiệp,2016.0,1.856088,0.077225,43.126469,-2598.22418,0.146409,0.330917,0.13214,0.356645,0.164606,0.442435,2.698989,0.689775,2.223471,0.052593,1.419136,-0.024794,4.757682,4.23174,0.236119,0.099764,-4.076276,0.210017,,,,,,
5,AAA,Hàng công nghiệp,2017.0,1.863239,0.080121,69.788956,-3880.752004,0.117278,0.250468,0.111355,0.255966,0.229373,0.468235,2.298648,0.644905,1.816148,0.06201,1.080494,-0.03981,7.582908,3.877123,0.257471,0.120272,-6.557375,0.131644,0.191061,0.792579,0.916022,1.071972,0.554243,0.969521
6,AAA,Hàng công nghiệp,2018.0,1.915176,0.030666,63.808132,-4609.361408,0.114588,0.216262,0.08573,0.201327,0.232624,0.529855,2.348385,0.604173,1.526354,0.035311,1.336859,-0.014038,9.286097,4.574203,0.21842,0.089377,-8.506106,0.10759,0.607562,0.222664,1.0853,0.668627,0.7529,-0.246504
7,AAA,Hàng công nghiệp,2019.0,1.885505,0.063772,81.374582,-4290.386259,0.152928,0.245708,0.036517,0.090116,0.297541,0.622397,2.467819,0.592456,1.453723,0.075454,1.220261,-0.032675,7.579247,3.895518,0.256147,0.130472,-6.726086,0.131652,0.415826,0.548645,0.119545,0.356917,0.288652,1.40308
8,AAM,Sản xuất thực phẩm,2016.0,1.910561,0.005511,74.246661,-39.997664,0.374482,0.456229,0.051905,1.360075,0.43345,0.820821,26.203158,0.050117,0.052761,0.08167,2.198785,-0.001366,2.845074,2.458023,0.40118,0.081625,-2.627107,0.346602,,,,,,
9,AAM,Sản xuất thực phẩm,2017.0,1.910571,0.016722,164.545186,-92.231824,0.188028,0.240959,0.054286,1.811495,0.359136,0.780331,33.369251,0.042151,0.044006,0.067743,0.904258,-0.000182,4.739697,2.48149,0.400117,0.073884,-4.346753,0.209483,-0.510249,-0.117095,-0.189669,-0.191824,-0.086408,1.475785
10,AAM,Sản xuất thực phẩm,2018.0,1.887332,0.048712,106.002749,-141.304636,0.283483,0.351744,0.048264,0.728029,0.158425,0.805935,15.084245,0.079492,0.086357,0.067978,0.949577,-0.010961,3.34815,5.991133,0.165659,0.100559,-2.993422,0.296427,0.378202,0.244166,-0.050892,-0.596753,-0.093033,1.836136
11,AAM,Sản xuất thực phẩm,2019.0,1.864503,0.032853,50.160537,-141.902649,0.491627,0.602281,0.060628,0.918491,0.100965,0.816275,15.149566,0.070734,0.076118,0.067313,1.023659,-0.009254,1.932265,9.408695,0.101845,0.092918,-1.743264,0.49591,0.715755,-0.08584,-0.000804,-0.369483,-0.02207,-0.332192
12,AAS,NULL,2019.0,1.740225,0.201934,38.547752,,0.0,0.0,0.354777,1.034577,0.047458,0.87324,2.916133,0.34292,0.521885,0.060139,0.464703,-0.012872,,4.734388,0.211221,0.058368,,0.0,,,,,,
13,AAT,NULL,2016.0,1.837267,0.001308,126.405019,-7637.980539,0.027183,0.218445,0.001947,0.008765,0.089699,0.12444,4.501007,0.405202,0.681243,0.028419,0.267743,-0.000275,4.764156,1.443772,0.69263,0.021075,-3.988873,0.209901,,,,,,
14,AAT,NULL,2017.0,1.863018,0.034531,249.944627,-10431.500469,0.029179,0.143373,0.00187,0.007795,0.179548,0.203517,4.168703,0.400664,0.668513,0.028349,0.214153,-0.003342,6.755832,1.097905,0.910826,0.027003,-5.830407,0.14802,0.06475,0.27095,0.556311,0.985521,0.601445,38.85024
15,AAT,NULL,2018.0,1.831003,0.098551,132.757508,-6715.161405,0.032603,0.150102,0.011322,0.080021,0.177745,0.217207,7.067879,0.343024,0.522125,0.069601,0.506221,-0.014153,15.282282,2.803177,0.356738,0.084203,-12.699623,0.065435,0.086183,2.031301,1.365892,-0.037664,0.195428,6.012337
16,AAT,NULL,2019.0,1.85442,0.079062,145.085876,-6767.035461,0.040501,0.163149,0.008531,0.071854,0.216659,0.248247,8.422287,0.316177,0.462368,0.10391,0.505116,-0.011646,12.179131,2.276715,0.439229,0.07181,-10.406089,0.082108,0.258236,-0.136198,0.031,0.234616,-0.240065,-0.195549
17,AAV,Bất động sản,2016.0,1.880187,0.117829,284.540174,-2583333.66762,0.073179,0.212702,0.040859,0.286922,0.714963,0.344042,7.022248,0.559385,1.269554,0.041016,0.946822,-0.024821,6.2664,0.641386,1.559124,0.054942,-5.515602,0.159581,,,,,,
18,AAV,Bất động sản,2017.0,1.831369,0.118955,390.711195,-47097.05203,0.061574,0.171104,0.004046,0.011151,0.726818,0.359862,2.755892,0.550666,1.225514,0.057271,0.676341,-0.034208,10.75163,0.910844,1.097883,0.111637,-8.938573,0.093009,-0.128756,1.103917,0.411937,0.05262,1.53573,0.509126
19,AAV,Bất động sản,2018.0,1.866143,0.10177,181.614638,-58344.588036,0.07332,0.156781,0.050416,0.135778,0.508607,0.467657,2.693177,0.490685,0.96342,0.099852,1.242849,-0.053518,16.40945,2.365548,0.422735,0.161048,-14.212922,0.06094,0.256685,0.52248,0.998212,-0.261487,0.279309,0.640909
20,AAV,Bất động sản,2019.0,1.893817,0.073615,196.604607,-59680.232127,0.041182,0.071012,0.033558,0.122496,0.664729,0.579931,3.650237,0.366278,0.57798,0.061612,1.124687,-0.023664,22.580575,1.398934,0.713674,0.097394,-20.215597,0.044214,-0.152436,-0.087437,0.205524,0.972188,0.080518,-0.156362
21,ABC,Viễn thông di động,2016.0,1.980164,0.015841,14.630448,-1331.513529,0.086059,0.090345,0.131165,0.320193,0.496873,0.95256,2.441147,0.415037,0.70951,0.116456,12.449042,-0.035967,72.020461,12.473987,0.080167,0.122941,-70.591885,0.013885,,,,,,
22,ABC,Viễn thông di động,2017.0,1.989546,0.095958,32.658773,-2873.05247,0.074473,0.094955,0.104816,0.469479,0.242644,0.784293,4.479065,0.232695,0.303263,0.068253,4.966493,-0.159573,80.085187,24.579835,0.040682,0.062166,-79.250439,0.012486,-0.478595,-0.695332,-0.414641,-0.705763,0.620961,2.512113
23,ABC,Viễn thông di động,2018.0,1.963368,0.034073,76.831474,-5555.498312,0.159391,0.167809,0.076914,0.244254,0.266524,0.949831,3.175671,0.323196,0.477533,0.079393,1.251343,-0.011284,7.05947,4.221812,0.236807,0.040955,-6.802522,0.141619,1.506561,-0.228444,-0.784847,0.286406,-0.642698,-0.921543
24,ABC,Viễn thông di động,2019.0,1.973847,0.01654,34.361129,-4098.22887,0.180855,0.203323,0.077774,0.236209,0.245018,0.889497,3.037126,0.337395,0.509194,0.080278,2.746436,-0.012877,14.783374,10.912061,0.091633,0.069687,-14.398053,0.067637,0.170441,0.755203,1.477328,-0.051705,0.528941,0.189787
