,label,industry,year,chi_so,gia_tri
0,A32,Hàng cá nhân,2019.0,K_Z_V01,0.204354
1,A32,Hàng cá nhân,2018.0,K_Z_V01,0.149865
2,A32,Hàng cá nhân,2017.0,K_Z_V01,0.103489
3,A32,Hàng cá nhân,2016.0,K_Z_V01,0.094849
4,A32,Hàng cá nhân,2019.0,K_Z_V02,0.137103
5,A32,Hàng cá nhân,2018.0,K_Z_V02,0.110687
6,A32,Hàng cá nhân,2017.0,K_Z_V02,0.079304
7,A32,Hàng cá nhân,2016.0,K_Z_V02,0.083849
8,A32,Hàng cá nhân,2019.0,K_Z_V03,0.131627
9,A32,Hàng cá nhân,2018.0,K_Z_V03,0.110682
10,A32,Hàng cá nhân,2017.0,K_Z_V03,0.083947
11,A32,Hàng cá nhân,2016.0,K_Z_V03,0.092708
12,A32,Hàng cá nhân,2019.0,K_Z_V05,1.589877
13,A32,Hàng cá nhân,2018.0,K_Z_V05,1.378324
14,A32,Hàng cá nhân,2017.0,K_Z_V05,1.221396
15,A32,Hàng cá nhân,2016.0,K_Z_V05,1.353232
16,AAA,Hàng công nghiệp,2019.0,K_Z_V01,0.21718
17,AAA,Hàng công nghiệp,2018.0,K_Z_V01,0.104031
18,AAA,Hàng công nghiệp,2017.0,K_Z_V01,0.033197
19,AAA,Hàng công nghiệp,2016.0,K_Z_V01,0.071926
20,AAA,Hàng công nghiệp,2019.0,K_Z_V02,0.075454
21,AAA,Hàng công nghiệp,2018.0,K_Z_V02,0.035311
22,AAA,Hàng công nghiệp,2017.0,K_Z_V02,0.06201
23,AAA,Hàng công nghiệp,2016.0,K_Z_V02,0.052593
24,AAA,Hàng công nghiệp,2019.0,K_Z_V03,0.073916
25,AAA,Hàng công nghiệp,2018.0,K_Z_V03,0.032631
26,AAA,Hàng công nghiệp,2017.0,K_Z_V03,0.071252
27,AAA,Hàng công nghiệp,2016.0,K_Z_V03,0.053793
28,AAA,Hàng công nghiệp,2019.0,K_Z_V04,0.372665
29,AAA,Hàng công nghiệp,2018.0,K_Z_V04,0.428215
30,AAA,Hàng công nghiệp,2017.0,K_Z_V04,0.537884
31,AAA,Hàng công nghiệp,2016.0,K_Z_V04,0.361481
32,AAA,Hàng công nghiệp,2019.0,K_Z_V05,1.161603
33,AAA,Hàng công nghiệp,2018.0,K_Z_V05,1.065035
34,AAA,Hàng công nghiệp,2017.0,K_Z_V05,0.890871
35,AAA,Hàng công nghiệp,2016.0,K_Z_V05,0.697129
36,AAM,Sản xuất thực phẩm,2019.0,K_Z_V01,0.750266
37,AAM,Sản xuất thực phẩm,2018.0,K_Z_V01,0.73964
